transactionId,accountNumber,accountHolderName,transactionDate,transactionType,amount,transactionStatus
1,305849980,User5,2024-12-18,TRANSFER,3198.35,PENDING
2,164593637,User143,2024-12-31,TRANSFER,1632.87,FAILED
3,303104170,User488,2024-03-11,WITHDRAWAL,1295.39,PENDING
4,689709602,User324,2024-11-25,WITHDRAWAL,3995.84,COMPLETED
5,219440318,User349,2024-06-14,DEPOSIT,117.12,PENDING
6,796312381,User228,2024-02-16,WITHDRAWAL,836.8,COMPLETED
7,746038068,User417,2024-12-13,TRANSFER,1164.61,FAILED
8,968125596,User220,2024-05-23,WITHDRAWAL,4228.78,FAILED
9,467647493,User288,2024-11-02,WITHDRAWAL,2175.54,PENDING
10,852444509,User274,2024-01-20,DEPOSIT,597.96,COMPLETED
11,920231502,User261,2024-09-21,WITHDRAWAL,624.6,COMPLETED
12,104419777,User125,2024-10-01,WITHDRAWAL,2882.33,PENDING
13,647761908,User297,2024-02-13,DEPOSIT,2945.6,PENDING
14,711264875,User256,2024-07-07,WITHDRAWAL,866.06,COMPLETED
15,727754288,User17,2024-03-30,WITHDRAWAL,2858.81,PENDING
16,591944518,User60,2024-05-28,WITHDRAWAL,2601.51,COMPLETED
17,971485148,User312,2024-05-20,TRANSFER,3982.71,COMPLETED
18,186115618,User321,2024-05-24,WITHDRAWAL,1546.55,PENDING
19,967514959,User150,2024-05-12,TRANSFER,3356.17,PENDING
20,992654393,User479,2024-08-09,DEPOSIT,1880.44,PENDING
21,388588626,User191,2024-07-30,TRANSFER,688.86,FAILED
22,652731923,User382,2024-04-29,WITHDRAWAL,2535.06,PENDING
23,648707411,User495,2024-06-09,TRANSFER,727.38,FAILED
24,397162071,User205,2024-08-15,TRANSFER,237.15,COMPLETED
25,342146355,User122,2024-01-22,WITHDRAWAL,3367.22,PENDING
26,991816749,User402,2024-06-28,DEPOSIT,1762.39,PENDING
27,876592667,User187,2024-07-23,WITHDRAWAL,2475.84,COMPLETED
28,172657805,User8,2024-12-27,TRANSFER,95.12,PENDING
29,830096860,User172,2024-05-18,DEPOSIT,4048.08,FAILED
30,404838572,User396,2024-01-17,WITHDRAWAL,2641.08,FAILED
31,406640813,User401,2024-11-01,TRANSFER,1185.53,COMPLETED
32,516823610,User97,2024-11-13,TRANSFER,4610.85,COMPLETED
33,935013046,User82,2024-06-10,WITHDRAWAL,3206.2,PENDING
34,480615079,User212,2024-11-21,TRANSFER,3451.24,COMPLETED
35,196288943,User315,2024-04-25,DEPOSIT,4105.73,COMPLETED
36,859735862,User430,2024-09-01,TRANSFER,1555.65,COMPLETED
37,944992642,User201,2024-03-04,DEPOSIT,1749.57,PENDING
38,125353625,User221,2024-05-26,TRANSFER,3552.14,COMPLETED
39,458294038,User334,2024-01-22,DEPOSIT,1152.79,PENDING
40,157420072,User430,2024-03-05,DEPOSIT,3981.0,COMPLETED
41,585097634,User444,2024-03-25,WITHDRAWAL,4517.18,FAILED
42,777346495,User41,2024-10-18,WITHDRAWAL,242.08,PENDING
43,498997425,User34,2024-07-04,DEPOSIT,1248.45,COMPLETED
44,559781988,User215,2024-07-03,TRANSFER,726.69,PENDING
45,387104137,User201,2024-02-25,TRANSFER,809.37,PENDING
46,639993253,User314,2024-02-07,TRANSFER,4158.65,PENDING
47,985443765,User369,2024-02-27,WITHDRAWAL,3622.38,FAILED
48,599561630,User319,2024-05-08,DEPOSIT,4337.46,PENDING
49,981305309,User127,2024-08-02,TRANSFER,1056.32,PENDING
50,127423269,User369,2024-02-25,TRANSFER,3872.58,COMPLETED
51,184602287,User466,2024-06-27,WITHDRAWAL,4353.55,PENDING
52,877120539,User190,2024-05-13,DEPOSIT,3382.15,COMPLETED
53,744197353,User449,2024-01-12,WITHDRAWAL,578.38,FAILED
54,266701721,User55,2024-09-28,WITHDRAWAL,4758.66,COMPLETED
55,381574712,User4,2024-02-18,WITHDRAWAL,1705.96,FAILED
56,494798102,User172,2024-09-25,WITHDRAWAL,2834.35,COMPLETED
57,599437305,User297,2024-05-10,WITHDRAWAL,1309.66,COMPLETED
58,256965492,User226,2024-05-31,TRANSFER,2883.65,FAILED
59,601261461,User148,2024-06-18,DEPOSIT,3671.77,COMPLETED
60,917909140,User71,2024-07-20,TRANSFER,114.22,PENDING
61,685084179,User480,2024-09-24,DEPOSIT,3575.45,PENDING
62,122335904,User344,2024-04-30,DEPOSIT,3481.94,FAILED
63,386091347,User322,2024-08-03,TRANSFER,3982.62,FAILED
64,329299128,User383,2024-08-11,TRANSFER,2146.32,FAILED
65,267813234,User84,2024-10-23,TRANSFER,1318.76,FAILED
66,664234979,User94,2024-11-30,DEPOSIT,3399.24,PENDING
67,749101139,User456,2024-06-27,WITHDRAWAL,216.67,PENDING
68,564807062,User481,2024-01-13,WITHDRAWAL,4769.71,PENDING
69,121630330,User20,2024-10-21,DEPOSIT,3117.24,COMPLETED
70,632602115,User77,2024-02-02,TRANSFER,1543.04,FAILED
71,224539408,User132,2024-02-06,WITHDRAWAL,4326.66,PENDING
72,710667853,User48,2024-04-23,WITHDRAWAL,3064.5,COMPLETED
73,768632346,User499,2024-10-19,TRANSFER,1862.5,PENDING
74,321242142,User323,2024-03-27,WITHDRAWAL,4843.25,FAILED
75,863341531,User37,2024-11-10,WITHDRAWAL,4543.25,PENDING
76,968393880,User448,2024-09-05,TRANSFER,947.42,PENDING
